"duration","credit_history","purpose","amount","age","housing","class"
6,"critical account/ other credits existing (not at this bank)","radio/television",1169,67,"own","Good"
48,"existing credits paid back duly till now","radio/television",5951,22,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","education",2096,49,"own","Good"
42,"existing credits paid back duly till now","furniture/equipment",7882,45,"for free","Good"
24,"delay in paying off in the past","car (new)",4870,53,"for free","Bad"
36,"existing credits paid back duly till now","education",9055,35,"for free","Good"
24,"existing credits paid back duly till now","furniture/equipment",2835,53,"own","Good"
36,"existing credits paid back duly till now","car (used)",6948,35,"rent","Good"
12,"existing credits paid back duly till now","radio/television",3059,61,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (new)",5234,28,"own","Bad"
12,"existing credits paid back duly till now","car (new)",1295,25,"rent","Bad"
48,"existing credits paid back duly till now","business",4308,24,"rent","Bad"
12,"existing credits paid back duly till now","radio/television",1567,22,"own","Good"
24,"critical account/ other credits existing (not at this bank)","car (new)",1199,60,"own","Bad"
15,"existing credits paid back duly till now","car (new)",1403,28,"rent","Good"
24,"existing credits paid back duly till now","radio/television",1282,32,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","radio/television",2424,53,"own","Good"
30,"no credits taken/ all credits paid back duly","business",8072,25,"own","Good"
24,"existing credits paid back duly till now","car (used)",12579,44,"for free","Bad"
24,"existing credits paid back duly till now","radio/television",3430,31,"own","Good"
9,"critical account/ other credits existing (not at this bank)","car (new)",2134,48,"own","Good"
6,"existing credits paid back duly till now","radio/television",2647,44,"rent","Good"
10,"critical account/ other credits existing (not at this bank)","car (new)",2241,48,"rent","Good"
12,"critical account/ other credits existing (not at this bank)","car (used)",1804,44,"own","Good"
10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2069,26,"own","Good"
6,"existing credits paid back duly till now","furniture/equipment",1374,36,"own","Good"
6,"no credits taken/ all credits paid back duly","radio/television",426,39,"own","Good"
12,"all credits at this bank paid back duly","radio/television",409,42,"rent","Good"
7,"existing credits paid back duly till now","radio/television",2415,34,"own","Good"
60,"delay in paying off in the past","business",6836,63,"own","Bad"
18,"existing credits paid back duly till now","business",1913,36,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",4020,27,"own","Good"
18,"existing credits paid back duly till now","car (new)",5866,30,"own","Good"
12,"critical account/ other credits existing (not at this bank)","business",1264,57,"rent","Good"
12,"existing credits paid back duly till now","furniture/equipment",1474,33,"own","Good"
45,"critical account/ other credits existing (not at this bank)","radio/television",4746,25,"own","Bad"
48,"critical account/ other credits existing (not at this bank)","education",6110,31,"for free","Good"
18,"existing credits paid back duly till now","radio/television",2100,37,"own","Bad"
10,"existing credits paid back duly till now","domestic appliances",1225,37,"own","Good"
9,"existing credits paid back duly till now","radio/television",458,24,"own","Good"
30,"existing credits paid back duly till now","radio/television",2333,30,"own","Good"
12,"existing credits paid back duly till now","radio/television",1158,26,"own","Good"
18,"delay in paying off in the past","repairs",6204,44,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (used)",6187,24,"rent","Good"
48,"critical account/ other credits existing (not at this bank)","car (used)",6143,58,"for free","Bad"
11,"critical account/ other credits existing (not at this bank)","car (new)",1393,35,"own","Good"
36,"existing credits paid back duly till now","radio/television",2299,39,"own","Good"
6,"existing credits paid back duly till now","car (used)",1352,23,"rent","Good"
11,"critical account/ other credits existing (not at this bank)","car (new)",7228,39,"own","Good"
12,"existing credits paid back duly till now","radio/television",2073,28,"own","Good"
24,"delay in paying off in the past","furniture/equipment",2333,29,"own","Good"
27,"delay in paying off in the past","car (used)",5965,30,"own","Good"
12,"existing credits paid back duly till now","radio/television",1262,25,"own","Good"
18,"existing credits paid back duly till now","car (used)",3378,31,"own","Good"
36,"delay in paying off in the past","car (new)",2225,57,"for free","Bad"
6,"all credits at this bank paid back duly","car (new)",783,26,"own","Good"
12,"existing credits paid back duly till now","radio/television",6468,52,"own","Bad"
36,"critical account/ other credits existing (not at this bank)","radio/television",9566,31,"own","Good"
18,"existing credits paid back duly till now","car (new)",1961,23,"own","Good"
36,"critical account/ other credits existing (not at this bank)","furniture/equipment",6229,23,"rent","Bad"
9,"existing credits paid back duly till now","business",1391,27,"own","Good"
15,"critical account/ other credits existing (not at this bank)","radio/television",1537,50,"own","Good"
36,"no credits taken/ all credits paid back duly","business",1953,61,"for free","Bad"
48,"no credits taken/ all credits paid back duly","business",14421,25,"own","Bad"
24,"existing credits paid back duly till now","radio/television",3181,26,"own","Good"
27,"existing credits paid back duly till now","repairs",5190,48,"own","Good"
12,"existing credits paid back duly till now","radio/television",2171,29,"own","Good"
12,"existing credits paid back duly till now","car (new)",1007,22,"own","Good"
36,"existing credits paid back duly till now","education",1819,37,"for free","Bad"
36,"existing credits paid back duly till now","radio/television",2394,25,"own","Good"
36,"existing credits paid back duly till now","car (used)",8133,30,"own","Good"
7,"critical account/ other credits existing (not at this bank)","radio/television",730,46,"rent","Good"
8,"critical account/ other credits existing (not at this bank)","others",1164,51,"for free","Good"
